,username,before_percolation,after_percolation,degree,change
897,itsmeSZ,0.00040896503163927433,0.00036820549133745713,61219,decrease
759,yonomevacunoo,0.0005459035490207509,0.0004916042440503462,59327,decrease
360,newsmax,0.01436127280034025,0.01751889790303086,34672,increase
266,JonPort79449036,0.0007873964749434898,0.0009171834903916633,19887,increase
761,gorskon,0.0027878091410161393,0.0034753017524121682,17960,increase
951,MichelleDewbs,3.238410884021403e-05,2.9981727693986445e-05,16615,decrease
1021,ElectricUte420,1.1103123030930525e-05,1.0626872288950189e-05,13677,decrease
814,1SierraSteele,2.8066227661518826e-05,2.6075693153847088e-05,12801,decrease
1073,BOWorldwide,2.4056766567016137e-05,2.2442065471712476e-05,10491,decrease
1193,ShellyRKirchoff,0.0,0.0,6975,no change
823,Johanne31785773,3.701041010310175e-05,3.4160407128194505e-05,6303,decrease
1415,IcewomanSJ,0.0,0.0,5299,no change
932,jch1708,9.252602525775438e-07,1.0359954537531368e-06,5260,increase
2396,aufgewacht2020,0.0,0.0,4846,no change
2242,DJCTruth,3.084200841925146e-07,3.832117680988984e-07,3938,increase
206,nickisnest,0.00015297636175948723,0.00013829430108450982,3921,decrease
2275,handmadekathy,4.626301262887719e-06,4.614126762937923e-06,3508,decrease
818,DrAseemMalhotra,4.0094610945026895e-06,5.104895965832171e-06,3410,increase
1267,KBoz3,9.252602525775438e-07,1.0359954537531368e-06,3095,increase
1337,DrTraceyK,3.238410884021403e-05,2.9981727693986445e-05,2908,decrease
846,Enforcement1st,0.0001246017140137759,0.00016144957928286279,2835,increase
904,backtolife_2023,2.775780757732631e-06,3.25985984131342e-06,2756,increase
1728,CobyJay41,0.011539537450062934,0.016113845355054036,2735,increase
2459,quicksand40,0.0,0.0,2717,no change
2458,anywaymovingon,0.0,0.0,2613,no change
122,bev768,0.0009520927999022926,0.001068921781565326,2519,increase
2304,fieldofgreeninc,0.0,0.0,2480,no change
2246,Bob31685906,1.542100420962573e-06,2.0900173348845424e-06,2426,increase
914,GovCanHealth,1.0794702946738011e-05,1.3898356778561108e-05,2395,increase
2264,davietweetsc,0.0,0.0,2300,no change
7,danny086756661,0.019831102993494495,0.029098535328547687,2284,increase
