,id,username,bot_type,user_type,origin_tweet_date,degree,tweet_url
0,1502,itsmeSZ,private_account,bot,2022-12-14,61219,https://twitter.com/itsmeSZ/status/1603176228558512128
1,1386,yonomevacunoo,private_account,bot,2022-12-16,59327,https://twitter.com/yonomevacunoo/status/1603750553539985408
2,978,newsmax,private_account,bot,2021-05-26,34672,https://twitter.com/newsmax/status/1397597747906293766
3,434,JonPort79449036,spammer,bot,2021-10-09,19887,https://twitter.com/JonPort79449036/status/1446680933797670917
4,1387,gorskon,other,bot,2022-12-16,17960,https://twitter.com/gorskon/status/1603751131330408448
5,1561,MichelleDewbs,spammer,bot,2022-12-14,16615,https://twitter.com/MichelleDewbs/status/1603147910220288000
6,1671,ElectricUte420,spammer,bot,2022-12-14,13677,https://twitter.com/ElectricUte420/status/1603131873881980933
7,1427,1SierraSteele,spammer,bot,2022-12-16,12801,https://twitter.com/1SierraSteele/status/1603777750413692928
8,1767,BOWorldwide,spammer,bot,2022-12-14,10491,https://twitter.com/BOWorldwide/status/1603098618273345536
9,2014,ShellyRKirchoff,private_account,bot,2022-12-14,6975,https://twitter.com/ShellyRKirchoff/status/1603028116670402560
10,1435,Johanne31785773,private_account,bot,2022-12-16,6303,https://twitter.com/Johanne31785773/status/1603778994519818241
11,1833,IcewomanSJ,false (human account),human,2022-12-14,5299,https://twitter.com/IcewomanSJ/status/1603066925608710145
12,1538,jch1708,spammer,bot,2022-12-15,5260,https://twitter.com/jch1708/status/1603187591712739328
13,1992,aufgewacht2020,false (human account),human,2022-12-14,4846,https://twitter.com/aufgewacht2020/status/1603024131460587521
14,1736,DJCTruth,false (human account),human,2022-12-14,3938,https://twitter.com/DJCTruth/status/1603091661315268623
15,308,nickisnest,false (human account),human,2021-08-13,3921,https://twitter.com/nickisnest/status/1426063842770051073
16,1793,handmadekathy,false (human account),human,2022-12-14,3508,https://twitter.com/handmadekathy/status/1603107820354011136
17,1429,DrAseemMalhotra,private_account,bot,2022-12-16,3410,https://twitter.com/DrAseemMalhotra/status/1603778539026882561
18,2168,KBoz3,private_account,bot,2022-12-14,3095,https://twitter.com/KBoz3/status/1602954654186409984
19,2245,DrTraceyK,private_account,bot,2022-12-15,2908,https://twitter.com/DrTraceyK/status/1603429119496175618
20,1455,Enforcement1st,spammer,bot,2022-12-16,2835,https://twitter.com/Enforcement1st/status/1603788515653087232
21,1652,backtolife_2023,other,bot,2022-12-14,2756,https://twitter.com/backtolife_2023/status/1603122737496707073
22,591,CobyJay41,false (human account),human,2021-08-11,2735,https://twitter.com/CobyJay41/status/1425564049320861696
23,2082,quicksand40,false (human account),human,2022-12-14,2717,https://twitter.com/quicksand40/status/1602996960205721600
24,2078,anywaymovingon,false (human account),human,2022-12-14,2613,https://twitter.com/anywaymovingon/status/1602995910425853954
25,155,bev768,false (human account),human,2021-10-07,2519,https://twitter.com/bev768/status/1446201715112361998
26,1837,fieldofgreeninc,false (human account),human,2022-12-14,2480,https://twitter.com/fieldofgreeninc/status/1603068718170374145
27,1747,Bob31685906,false (human account),human,2022-12-14,2426,https://twitter.com/Bob31685906/status/1603092082712887296
28,1518,GovCanHealth,spammer,bot,2022-12-15,2395,https://twitter.com/GovCanHealth/status/1603180181585362950
29,1778,davietweetsc,false (human account),human,2022-12-14,2300,https://twitter.com/davietweetsc/status/1603103519367741440
30,6,danny086756661,spammer,bot,2021-08-11,2284,https://twitter.com/danny086756661/status/1425554263107727360
31,1938,SpursMaccabee,false (human account),human,2022-12-14,2281,https://twitter.com/SpursMaccabee/status/1603052094067728384
32,1782,pastorcoin,false (human account),human,2022-12-14,2268,https://twitter.com/pastorcoin/status/1603104431524163584
33,1675,GovRonDeSantis,spammer,bot,2022-12-14,2198,https://twitter.com/GovRonDeSantis/status/1603132978325954560
34,1792,SweetKansaslife,false (human account),human,2022-12-14,2177,https://twitter.com/SweetKansaslife/status/1603107527834861568
