,username,before_percolation,after_percolation,degree,change
280,MILKA_IG,0.0016685498871719647,0.0019682221760532687,22132,increase
374,AliceOllstein,0.00040142331823453034,0.00044694956146068413,12557,increase
305,HelenBranswell,9.911686869988404e-07,1.2165936254874537e-06,11538,increase
300,Mulu3010992,0.0007831884575102504,0.0010853906437762796,9198,increase
105,CDCgov,6.938180808991882e-06,8.780917156741657e-06,9069,increase
1016,ArielCohen37,8.920518182989563e-05,8.696281414479205e-05,7634,decrease
877,EdenBFKN,0.0,0.0,6978,no change
146,Patricklubin20,5.947012121993042e-06,6.213453460816112e-06,6477,increase
1257,TheMSeries1,3.5682072731958255e-05,3.3722453359884464e-05,6357,decrease
628,wherewelive,0.0,0.0,5910,no change
439,HPN4Tigray,2.0814542426975648e-05,2.0137862625704212e-05,5814,decrease
1280,JohnFromCA,1.4867530304982605e-05,1.4637400128200857e-05,4815,decrease
1193,jackfitzdc,5.947012121993042e-06,6.213453460816112e-06,4127,increase
1247,doctormacias,2.973506060996521e-06,3.2873026304844544e-06,3905,increase
973,NationalNurses,8.920518182989563e-05,0.00011221899887267326,3766,increase
265,SignHealth,2.973506060996521e-06,3.2873026304844544e-06,3638,increase
504,TigrayKwgehEu,0.00014190231702200068,0.00017484217720566104,3632,increase
1331,AlexCastagnoIRL,2.973506060996521e-06,3.2873026304844544e-06,3598,increase
220,omctorg,5.947012121993042e-06,6.213453460816112e-06,3354,increase
128,therobanda,9.911686869988404e-06,9.996375310366883e-06,3288,increase
883,DrJayVarma,4.0637916166952454e-05,5.785165471966559e-05,3268,increase
296,msdh,2.973506060996521e-06,3.2873026304844544e-06,3106,increase
428,thehill,9.911686869988404e-06,9.996375310366883e-06,2991,increase
473,brhan50964202,8.813141575231359e-05,0.00012956195510964867,2770,increase
398,SudanTribune_EN,0.00012191374850085736,0.00015408574744750855,2744,increase
1338,chxse999x,2.973506060996521e-06,3.2873026304844544e-06,2727,increase
561,News414MKE,0.0,0.0,2705,no change
277,BNOFeed,9.911686869988404e-07,1.2165936254874537e-06,2543,increase
986,geiger_warning,2.973506060996521e-06,3.2873026304844544e-06,2534,increase
1298,MCCoyCountyExec,0.0,0.0,2495,no change
1167,ushamcfarling,9.911686869988404e-07,1.2165936254874537e-06,2423,increase
1238,MyHEALTHKKM,9.911686869988404e-07,1.2165936254874537e-06,2375,increase
385,MoHFW_INDIA,2.973506060996521e-06,3.2873026304844544e-06,2358,increase
1215,michaelrosino,4.955843434994202e-06,6.115808706975584e-06,2259,increase
508,lieliti,7.342908022849743e-05,0.0001093125218157255,2251,increase
437,Ebrahi_k,0.0,0.0,2250,no change
118,Alexander_Tin,0.0002676155454896869,0.00040518343601547886,2139,increase
521,WediRaya7,7.954128713165701e-05,0.00010184995743887687,2040,increase
633,CityofDenver,1.9823373739976807e-06,2.689594843452729e-06,1974,increase
298,The519,5.947012121993042e-06,6.213453460816112e-06,1971,increase
