,id,username,bot_type,user_type,origin_tweet_date,degree,tweet_url
0,314,MILKA_IG,spammer,bot,2022-09-29,22132,https://twitter.com/MILKA_IG/status/1575399938300825600
1,425,AliceOllstein,spammer,bot,2022-09-27,12557,https://twitter.com/AliceOllstein/status/1574785579585536002
2,337,HelenBranswell,self_declared,bot,2022-09-27,11538,https://twitter.com/HelenBranswell/status/1574791119904325633
3,333,Mulu3010992,spammer,bot,2022-09-27,9198,https://twitter.com/Mulu3010992/status/1574790737505443842
4,343,CDCgov,self_declared,bot,2022-09-27,9069,https://twitter.com/CDCgov/status/1574791580548042752
5,516,ArielCohen37,false (human account),human,2022-09-27,7634,https://twitter.com/ArielCohen37/status/1574781618903998465
6,322,EdenBFKN,false (human account),human,2022-09-27,6978,https://twitter.com/EdenBFKN/status/1574789769225293826
7,196,Patricklubin20,other,bot,2022-10-21,6477,https://twitter.com/Patricklubin20/status/1583573674808213504
8,828,TheMSeries1,false (human account),human,2022-09-27,6357,https://twitter.com/TheMSeries1/status/1574754017548410881
9,991,wherewelive,spammer,bot,2022-09-27,5910,https://twitter.com/wherewelive/status/1574810893782863872
10,562,HPN4Tigray,other,bot,2022-09-27,5814,https://twitter.com/HPN4Tigray/status/1574775079241760771
11,850,JohnFromCA,false (human account),human,2022-09-27,4815,https://twitter.com/JohnFromCA/status/1574755526671491073
12,733,jackfitzdc,false (human account),human,2022-09-27,4127,https://twitter.com/jackfitzdc/status/1574757177851625472
13,815,doctormacias,false (human account),human,2022-09-27,3905,https://twitter.com/doctormacias/status/1574753086249263105
14,468,NationalNurses,false (human account),human,2022-09-27,3766,https://twitter.com/NationalNurses/status/1574778068878647296
15,301,SignHealth,spammer,bot,2022-09-29,3638,https://twitter.com/SignHealth/status/1575397337433776129
16,713,TigrayKwgehEu,spammer,bot,2022-09-27,3632,https://twitter.com/TigrayKwgehEu/status/1574764555779153924
17,916,AlexCastagnoIRL,false (human account),human,2022-09-27,3598,https://twitter.com/AlexCastagnoIRL/status/1574748604157288448
18,264,omctorg,self_declared,bot,2022-09-29,3354,https://twitter.com/omctorg/status/1575393042361720832
19,527,therobanda,false (human account),human,2022-09-27,3288,https://twitter.com/therobanda/status/1574772139974365184
20,660,DrJayVarma,false (human account),human,2022-09-27,3268,https://twitter.com/DrJayVarma/status/1574771239478083584
