,Unnamed: 0,username,bot_type,node_entanglement,eigenvector_centrality,betweenness_centrality,closeness_centrality,clique_number,page_rank,random_walk,cluster_leaf
0,0,ABC,private_account,-0.0023439493056063,6.713063126113663e-07,0.0,0.0265454630198759,2,0.0003538035128885,0.0003538035128885,0
1,1,Left_of_You,private_account,-0.0023439493056063,7.911735269999584e-06,0.0007426755627355,0.0318493042958551,2,0.0018212783494962,0.0018212783494962,1
2,4,CNN,private_account,-0.0023439493056063,8.985374515674618e-05,0.0046762653165269,0.0395087688872509,2,0.0008471898755955,0.0008471898755955,4
3,2,politico,spammer,-0.0023439493056063,6.713063126113663e-07,0.0,0.0265454630198759,2,0.0003538035128885,0.0003538035128885,2
4,3,US_FDA,private_account,-0.0023439493056063,6.713063126113663e-07,0.0,0.0265454630198759,2,0.0003538035128885,0.0003538035128885,3
5,5,CBSMornings,private_account,-0.0023439493056063,6.713063126113663e-07,0.0,0.0265454630198759,2,0.0003538035128885,0.0003538035128885,5
6,6,CDCDirector,private_account,-3.775989501519916e-06,6.761804402487958e-07,0.0001246017140137,0.026567365217087,2,0.0006803283549129,0.0006803283549129,6
7,7,danny086756661,spammer,-0.0023439493056081,0.0010413894053085,0.0198311029934944,0.0492349337050604,2,0.022713427212127,0.022713427212127,7
8,8,evolv67,private_account,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,8
9,9,UbuntuForever,other,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,9
10,18,CMOH_Alberta,spammer,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,18
11,19,DrTomFrieden,other,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,19
12,22,AttiMagyar,spammer,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,22
13,20,katspjz,private_account,-0.0023439493056081,8.83332520034553e-05,0.0,0.0376164096298008,2,0.0003370073759744,0.0003370073759744,20
