,network_energy_and_bot_energy
0,-3.854530220721546e-27
1,-3.714321981742922e-27
2,-3.265130649918101e-27
3,-3.1978509451031816e-27
4,-3.057642706124559e-27
5,-2.6365613527845757e-27
6,-2.5201527508687165e-27
7,-2.4979089690207042e-27
8,-2.273441906455555e-27
9,-2.21396917769669e-27
10,-2.1185338385129335e-27
11,-2.1185338385129335e-27
12,-2.1185338385129335e-27
13,-2.1000438979934233e-27
14,-2.1000438979934226e-27
15,-1.967258333283528e-27
16,-1.747630127887018e-27
17,-1.3873195581490674e-27
18,-1.1636164164497016e-27
19,-1.119060830753492e-27
20,-1.0517414466357411e-27
21,-1.00374686566147e-27
22,-9.888798668714757e-28
23,-5.825433759623398e-28
24,-5.825433759623396e-28
25,-5.63085274410986e-28
26,-5.365174547911524e-28
27,-5.365174547911522e-28
28,-5.1568227288806e-28
29,-4.29347684365388e-28
30,-4.085206151864889e-28
31,-3.940371662398094e-28
32,-3.6031056973795015e-28
33,-3.14740540918114e-28
34,-2.1392250344876277e-28
35,-1.9566498660455311e-28
36,9.205184234237116e-29
37,1.762068850532022e-28
38,1.7620688505320238e-28
39,5.286206551596056e-28
40,1.1571899522931318e-27
41,1.6893389904503982e-27
42,1.693707407084285e-27
43,1.693707407084285e-27
44,2.2303847671423376e-27
45,2.2712443374781217e-27
46,2.3648158759337795e-27
47,2.5879182736154548e-27
48,3.0505667796553866e-27
49,3.1270528864045384e-27
50,3.1441383181110452e-27
51,3.184997888446829e-27
52,4.031847423691371e-27
53,4.031847423691372e-27
54,5.273122705569148e-27
55,8.308123749631314e-27
56,3.4171073927768617e-12
57,3.4171073927768633e-12
58,3.4171073927768633e-12
59,5.125661089165292e-12
60,5.125661089165293e-12
61,5.125661089165293e-12
62,5.125661089165294e-12
63,5.125661089165294e-12
64,5.1256610891652955e-12
65,1.3668429571107427e-11
66,1.3668429571107427e-11
67,1.3668429571107434e-11
68,1.3668429571107434e-11
69,1.3668429571107434e-11
70,1.3668429571107434e-11
71,1.3668429571107434e-11
72,1.3668429571107435e-11
73,1.3668429571107437e-11
74,1.3668429571107437e-11
75,1.3668429571107437e-11
76,1.3668429571107437e-11
77,1.3668429571107439e-11
78,1.3668429571107439e-11
79,1.3668429571107439e-11
80,1.3668429571107439e-11
81,0.0031091334209243393
82,0.00325849058714584
83,0.0032910388639931744
84,0.003454177173561174
85,0.003515291188100531
86,0.0035494389923101106
87,0.003611718627459954
88,0.0036326686285681185
89,0.0036413480787894723
90,0.0038915665198461734
91,0.004007506437195825
92,0.004033446161224081
93,0.004053118408894746
94,0.004174251956224448
95,0.004692811511524231
96,0.004760874851068729
97,0.0068813416768954
98,0.0069179919124570605
99,0.0070930618830732295
100,0.0075638484569004365
101,0.00770720233747182
102,0.0078046116257129835
103,0.007880209468719052
104,0.008068040825132808
105,0.008089345331684194
106,0.008109681130130329
107,0.008175728275249082
108,0.00832332683993495
109,0.008838913807246935
110,0.008850948945047649
111,0.008871008597069633
112,0.010171299861169878
113,0.010898594851195804
114,0.01115448524918636
115,0.011800454901186528
116,0.012789567447475544
117,0.01280874809483903
118,0.012897395932824842
119,0.012939048882072783
120,0.013000955680262959
121,0.01310223303245085
122,0.01325212514693627
123,0.013275595531111822
124,0.013463749980703587
125,0.013464961628393538
126,0.013599291860759383
127,0.013741928740297789
128,0.013784591563348167
129,0.01395039198597071
130,0.014074053321940888
131,0.014101413212545554
132,0.014167577612659975
133,0.01442976986099713
134,0.01453360995443984
135,0.014579994637075098
136,0.014592340581411872
137,0.014604346050600264
138,0.014659606826003691
139,0.014798888746370028
140,0.014833250449429467
141,0.014841791524135256
142,0.014886263946877832
143,0.01488756087055295
144,0.014888823678132925
145,0.014898712939408292
146,0.014941216471280168
147,0.014993330277999914
148,0.014997489760543261
149,0.0150536233132991
150,0.015135705007972124
151,0.015153836620021198
152,0.015214705791962298
153,0.015235117778794651
154,0.015243850817568832
155,0.015254444160676376
156,0.01527191081156155
157,0.015312089602864553
158,0.015317464930236993
159,0.015337609873531416
160,0.0153586947559251
161,0.015370874758800628
162,0.015454248274012832
163,0.015468038868653788
164,0.015493960770841631
165,0.015506443725570715
166,0.015509329555123266
167,0.015514644668624709
168,0.015521755137727933
169,0.015524072364796674
170,0.01553457614374382
171,0.015536707756015386
172,0.01554361067991869
173,0.015569444205597827
174,0.015600049666238531
175,0.015629260893282426
176,0.015629581733977348
177,0.01566605910549751
178,0.015672388167155406
179,0.01570910880575643
180,0.015723508277531863
181,0.015741568898617383
182,0.01582917624003024
183,0.015870648522985135
184,0.015871233648185563
185,0.015897708772120992
186,0.015918257354927922
187,0.015919008558616825
188,0.015950152541274822
189,0.015959828682486202
190,0.01596981585437356
191,0.016013699408324804
192,0.016019546236355185
193,0.0160484275689448
194,0.016091243387192585
195,0.01610483449654907
196,0.016116392630311328
197,0.01615416743546132
198,0.01615483606179844
199,0.016162213269275028
200,0.016176692200924967
201,0.016223316415829032
202,0.016225086274076494
203,0.016226865017758038
204,0.016251855584445182
205,0.016256637737676816
206,0.016261443814624393
207,0.01626784441546349
208,0.016296981685673357
209,0.01634978877467347
210,0.016379881980982794
211,0.016419483214505308
212,0.016426679812753763
213,0.01645458962903886
214,0.016630871195257104
215,0.01669524029966948
216,0.016696581421742348
217,0.01669916226315544
218,0.01670591927497933
219,0.016721562787589433
220,0.016736127970298706
221,0.016772642801167713
222,0.01677424749781696
223,0.016782613029344265
224,0.016824733748004195
225,0.01684134697010248
226,0.016859622603868012
227,0.016861379932535104
228,0.01688376543974102
229,0.01689948649004199
230,0.017039978949218906
231,0.017043046173252203
232,0.017044286710369245
233,0.017065462263696738
234,0.017083880886018317
235,0.017105887969331653
236,0.01714461566436034
237,0.01715276939913944
238,0.01715648324624475
239,0.017158601362703273
240,0.017174802601220014
241,0.017211925659231613
242,0.017215895644878028
243,0.01723814634786533
244,0.017244271090241747
245,0.01725556747494145
246,0.01730023666652311
247,0.017322699029111554
248,0.017354512259019704
249,0.017354548839533395
250,0.01735816521702348
251,0.017390187481743476
252,0.01740401421732825
253,0.017439502994525725
254,0.017509668599530723
255,0.017560920997707802
256,0.017602669765733304
257,0.01765032749400797
258,0.017688089473133706
259,0.017706374180660418
260,0.01771653774230324
261,0.017751109689118454
262,0.017759160212259664
263,0.01776592418434413
264,0.01782685905396891
265,0.01786982629740148
266,0.017877809353944726
267,0.017885854783868577
268,0.01791855635909677
269,0.017935118962835787
270,0.017956031176171016
271,0.01796158111104781
272,0.017988514036554052
273,0.018020251491496532
274,0.01815547469289548
275,0.01815945339417796
276,0.01816770328571741
277,0.018174349028688707
278,0.01817753009908662
279,0.018185707073522343
280,0.018189282546317163
281,0.01821170611606439
282,0.018227274790690032
283,0.01822739960513934
284,0.018234103548469858
285,0.01823979611388656
286,0.01824303787634089
287,0.018246472940084628
288,0.01824852537048868
289,0.018250944820423703
290,0.018253327051080855
291,0.018257677942863974
292,0.01825993848133609
293,0.018268624763791746
294,0.018277300797419092
295,0.018290396940974972
296,0.018306273305794696
297,0.018346325978634736
298,0.018372439641405593
299,0.018380794992081215
300,0.01840430933427325
301,0.018409663915185656
302,0.01846768420518882
303,0.018493336824044686
304,0.01851613967565054
305,0.018516523580069597
306,0.018541701895193045
307,0.0185721901265441
308,0.01859365373402949
309,0.018599778879400775
310,0.018606218291756457
311,0.0186288300491341
312,0.01865103026655939
313,0.018655819757434574
314,0.018697820199524692
315,0.01869881592237079
316,0.018700448974738666
317,0.018779270235470106
318,0.018796906972928875
319,0.018860219291734755
320,0.018877415373895635
321,0.0188948215865361
322,0.01890255600315304
