,network_energy_and_bot_energy
0,-5.049222326902483e-27
1,-3.2164750177196087e-27
2,-2.6636780102115147e-27
3,-2.0889955258588784e-27
4,-2.025612228993892e-27
5,-1.8925997379538437e-27
6,-1.8874749822300333e-27
7,-1.8259389042790082e-27
8,-1.5021098542125495e-27
9,-1.4339116912529271e-27
10,-1.4076751242937077e-27
11,-1.3861293748355766e-27
12,-1.3706928580409453e-27
13,-1.2915552682598833e-27
14,-1.0944319243699932e-27
15,-1.0604023046280125e-27
16,-1.0304461830369099e-27
17,-9.816347511394005e-28
18,-9.616659039417263e-28
19,-9.020433348169374e-28
20,-8.928968582900594e-28
21,-8.919540330360559e-28
22,-8.662417248193496e-28
23,-8.223766937144408e-28
24,-8.175497616536497e-28
25,-7.990074831887032e-28
26,-7.452119818694757e-28
27,-7.386115779187942e-28
28,-7.220255475989192e-28
29,-7.004614652393082e-28
30,-6.737334547728619e-28
31,-6.5741881853336e-28
32,-6.242337959883187e-28
33,-6.193184328932511e-28
34,-6.191443762178927e-28
35,-6.129495008113936e-28
36,-5.9030144151602115e-28
37,-5.638946373542129e-28
38,-5.246175891457619e-28
39,-4.950168252614102e-28
40,-4.91001024317213e-28
41,-4.850740670799554e-28
42,-4.559300470929789e-28
43,-4.3476847259637695e-28
44,-4.1286470961034745e-28
45,-3.5921262169921697e-28
46,-3.549166963857271e-28
47,-3.4033620866379896e-28
48,-3.4033620866379887e-28
49,-3.3480282905133365e-28
50,-3.180144631825497e-28
51,-3.1352522924102853e-28
52,-2.6529956423944923e-28
53,-2.390138102850349e-28
54,-2.0540657317279104e-28
55,-1.8928297922284595e-28
56,-1.8789468574082648e-28
57,-1.7609123760133914e-28
58,-1.7016810433189937e-28
59,-1.660239316012723e-28
60,-1.4878780214809433e-28
61,-1.434018565503109e-28
62,-1.3876797335462532e-28
63,-1.3284798310395434e-28
64,-1.3222802681410722e-28
65,-1.2375862133229062e-28
66,-1.2375862133229053e-28
67,-1.2328948710059894e-28
68,-1.1070727057799682e-28
69,-1.0983718678383343e-28
70,-1.0461308203020586e-28
71,-1.0419663275258789e-28
72,-9.637762773898897e-29
73,-9.637762773898897e-29
74,-9.267160161163079e-29
75,-8.809068132994488e-29
76,-8.437879686258534e-29
77,-8.179991217981888e-29
78,-7.651795550922321e-29
79,-7.263444740303678e-29
80,-6.901109109382917e-29
81,-6.738088775539802e-29
82,-5.348962199470952e-29
83,-4.9305734794292674e-29
84,-4.772762974927492e-29
85,-4.762978691181799e-29
86,-4.218948190512755e-29
87,-3.882976234910243e-29
88,-3.6718460800699516e-29
89,-3.604125906041261e-29
90,-3.491779435302785e-29
91,-3.480454063279482e-29
92,-3.417116453783789e-29
93,-3.0361050689403703e-29
94,-2.916860513417872e-29
95,-2.845541564060283e-29
96,-2.4493818092331676e-29
97,-2.4287488954511668e-29
98,-2.2644660564401164e-29
99,-2.2390022562913708e-29
100,-2.1149791676270523e-29
101,-1.9191360339923177e-29
102,-1.8138047773402187e-29
103,-1.6882033937301805e-29
104,-1.5020997490382998e-29
105,-1.1413489723611641e-29
106,-1.0061048467628175e-29
107,-8.348547453172141e-30
108,-3.1335821036146228e-30
109,-1.0229597492468492e-30
110,6.779296681518898e-31
111,6.779296740491905e-31
112,2.3907834107452796e-30
113,2.7978997775700642e-30
114,3.382708462708144e-30
115,3.465817661016707e-30
116,4.46773339204483e-30
117,5.843765403947883e-30
118,8.012251430796105e-30
119,9.254017367156486e-30
120,9.625737792821066e-30
121,1.0721755333677229e-29
122,1.1157491023553712e-29
123,1.3172208782938204e-29
124,1.3464614727010962e-29
125,1.4860347613939548e-29
126,1.585232610706351e-29
127,1.6180475958259408e-29
128,1.8747855988220535e-29
129,1.952364223573813e-29
130,1.9523642239531362e-29
131,1.9650342281768064e-29
132,2.0157911147790078e-29
133,2.063543560582564e-29
134,2.1501136881923e-29
135,2.247024985125574e-29
136,2.2694932223073687e-29
137,2.5240021621700355e-29
138,2.6241554137604597e-29
139,2.728412628863802e-29
140,2.729460810866231e-29
141,2.779310976555644e-29
142,2.8238799558111e-29
143,2.909948364641967e-29
144,2.9304231247514594e-29
145,3.366622670828626e-29
146,3.4950652718880995e-29
147,3.784739598853655e-29
148,3.7847395992764895e-29
149,3.843176324320715e-29
150,3.910093144414039e-29
151,4.0486349730169116e-29
152,4.1335094385162584e-29
153,4.135924708690102e-29
154,4.158242881921879e-29
155,4.172252624140283e-29
156,4.302835682074153e-29
157,4.3991006087366096e-29
158,4.699345042177258e-29
159,5.417850116757137e-29
160,5.778364814181256e-29
161,5.813931046546124e-29
162,6.224178287261918e-29
163,6.309629810381273e-29
164,6.404834688093317e-29
165,6.701324009763556e-29
166,6.790290573331999e-29
167,6.988016196372872e-29
168,7.174556172204615e-29
169,7.960362061733988e-29
170,8.109464735482681e-29
171,8.343856245785439e-29
172,8.365149138344457e-29
173,8.595804756752348e-29
174,8.943653976702506e-29
175,9.186365406915032e-29
176,9.328004812774387e-29
177,9.98818465571732e-29
178,1.0041288398625155e-28
179,1.0103702881025998e-28
180,1.030292735241283e-28
181,1.0516520366693295e-28
182,1.0570639527880277e-28
183,1.0572527965833147e-28
184,1.08288793665754e-28
185,1.1012929018619043e-28
186,1.1465603138827307e-28
187,1.1477101989078548e-28
188,1.1677240143511676e-28
189,1.1923229861313333e-28
190,1.2023957709071411e-28
191,1.203985360184023e-28
192,1.2039853602494339e-28
193,1.220500322938139e-28
194,1.2339450636151737e-28
195,1.23446002508007e-28
196,1.303564438859487e-28
197,1.328129435725637e-28
198,1.3294374019421335e-28
199,1.3357240244267715e-28
200,1.341838748280845e-28
201,1.382839646769918e-28
202,1.4279808379683694e-28
203,1.4343347565143843e-28
204,1.4372287847039968e-28
205,1.4489777791430326e-28
206,1.475578203109141e-28
207,1.5638557228515744e-28
208,1.583601173939044e-28
209,1.597109500891454e-28
210,1.639103629758959e-28
211,1.7016810433189915e-28
212,1.741275886353041e-28
213,1.75776112792509e-28
214,1.7986047221435877e-28
215,1.808554260063148e-28
216,1.815614228080999e-28
217,1.8394865910039306e-28
218,1.9538162971712404e-28
219,1.9641042747080595e-28
220,1.9802932480442143e-28
221,2.1742443578612308e-28
222,2.2759179886116784e-28
223,2.3333459690064866e-28
224,2.3372273247052456e-28
225,2.355310676925847e-28
226,2.5073250361986457e-28
227,2.51759738490628e-28
