,0
0,0.0
1,2.5341466435662494e-15
2,6.3353762477173715e-16
3,2.8157299166333394e-16
4,1.5838537007739311e-16
5,1.013670995169526e-16
6,7.039421180743702e-17
7,5.17185374024557e-17
8,3.9597306420954715e-17
9,3.1287030367884936e-17
10,2.534273879370923e-17
11,2.0944635287147614e-17
12,1.7599516882060813e-17
13,1.4996228185160306e-17
14,1.2930598299415856e-17
15,1.1264153516982076e-17
16,9.90029057551446e-18
17,8.769954342076811e-18
18,7.822721586599503e-18
19,7.021078545947337e-18
20,6.336648720292185e-18
21,5.747646696888138e-18
22,5.237122873777968e-18
23,4.791730285553965e-18
24,4.400843305528048e-18
25,4.055917983846818e-18
26,3.7500211672266734e-18
27,3.47747935753544e-18
28,3.2336137346229205e-18
29,3.0145380002420944e-18
30,2.8170025807620288e-18
31,2.6382734252501575e-18
32,2.4760368900646684e-18
33,2.3283244850888207e-18
34,2.193452879303605e-18
35,2.069975729288564e-18
36,1.956644740968026e-18
37,1.8523779960226305e-18
38,1.756234034280614e-18
39,1.6673905269456497e-18
40,1.5851266342906874e-18
41,1.5088083379023674e-18
42,1.437876187817872e-18
43,1.3718350206302399e-18
44,1.3102452943785996e-18
45,1.252715756066511e-18
46,1.1988972126262507e-18
47,1.1484772195530598e-18
48,1.101175535893834e-18
49,1.056740221776271e-18
50,1.0149442767225109e-18
51,9.755827347676652e-19
52,9.384701467953833e-19
53,9.034383922052677e-19
54,8.703347715830596e-19
55,8.39020339879349e-19
56,8.093684460510865e-19
57,7.81263450447672e-19
58,7.545995956403634e-19
59,7.292800100687317e-19
60,7.052158269453436e-19
61,6.823254034289712e-19
62,6.605336272345969e-19
63,6.397712996667056e-19
64,6.199745855988808e-19
65,6.010845222245166e-19
66,5.830465795097893e-19
67,5.658102662222064e-19
68,5.493287762129955e-19
69,5.335586703205418e-19
70,5.184595898534418e-19
71,5.039939981202933e-19
72,4.901269469119195e-19
73,4.768258652204982e-19
74,4.640603678080546e-19
75,4.51802081521437e-19
76,4.400244874981115e-19
77,4.287027776226747e-19
78,4.178137237820051e-19
79,4.0733555863124014e-19
