,0
0,0.0
1,1.1667883674613045e-15
2,2.916985176532783e-16
3,1.2964484177092897e-16
4,7.292605522159093e-17
5,4.667335974344963e-17
6,3.2412636284890997e-17
7,2.381386983252903e-17
8,1.823293969503885e-17
9,1.4406672378374634e-17
10,1.1669765886620531e-17
11,9.644764619325e-18
12,8.104585096779356e-18
13,6.905963279049019e-18
14,5.954893572222877e-18
15,5.187619077859844e-18
16,4.559661140178483e-18
17,4.0392249790330526e-18
18,3.603094427196252e-18
19,3.23399717194681e-18
20,2.9188679343594127e-18
21,2.647676143514254e-18
22,2.4126177616155862e-18
23,2.2075474984824715e-18
24,2.0275730390946942e-18
25,1.8687605266156797e-18
26,1.727917756865268e-18
27,1.6024325036732582e-18
28,1.4901505164953942e-18
29,1.389282442494131e-18
30,1.2983320934134749e-18
31,1.2160406410622021e-18
32,1.141342823705027e-18
33,1.0733322972706994e-18
34,1.0112340123564332e-18
35,9.543820348162594e-19
36,9.022016175757062e-19
37,8.541946172875176e-19
38,8.099275611901504e-19
39,7.690218277069915e-19
40,7.311455234695322e-19
41,6.960067299010345e-19
42,6.633478616795614e-19
43,6.32940932686148e-19
44,6.045835663628159e-19
45,5.780956196472477e-19
46,5.533163149627043e-19
47,5.301017947270529e-19
48,5.083230287113426e-19
49,4.878640172407134e-19
50,4.686202433865616e-19
51,4.50497335483529e-19
52,4.334099079313416e-19
53,4.172805536295491e-19
54,4.0203896579329266e-19
55,3.8762117050541787e-19
56,3.7396885432943944e-19
57,3.6102877376074297e-19
58,3.487522353270783e-19
59,3.37094636841453e-19
60,3.260150617229253e-19
61,3.154759194836357e-19
62,3.0544262647401406e-19
63,2.958833218152385e-19
64,2.8676861415551314e-19
65,2.780713554861085e-19
66,2.6976643876245586e-19
67,2.6183061650942594e-19
68,2.5424233796051495e-19
69,2.4698160259790127e-19
70,2.4002982823255537e-19
71,2.3336973199782247e-19
72,2.2698522283173963e-19
73,2.208613041977976e-19
74,2.1498398594488723e-19
75,2.0934020433816935e-19
76,2.039177494065001e-19
77,1.987051988512669e-19
78,1.9369185784803377e-19
79,1.888677041480857e-19
80,1.8422333795324264e-19
81,1.7974993609544823e-19
82,1.7543921010375603e-19
83,1.7128336778631698e-19
84,1.6727507799459625e-19
85,1.6340743827213706e-19
86,1.5967394512108676e-19
87,1.5606846664719955e-19
88,1.525852173683174e-19
89,1.4921873499296307e-19
90,1.4596385899491874e-19
91,1.428157108267699e-19
92,1.3976967563068246e-19
93,1.3682138531832207e-19
94,1.3396670290401617e-19
95,1.3120170798618234e-19
96,1.2852268328183787e-19
97,1.2592610212779385e-19
98,1.234086168700295e-19
99,1.209670480698365e-19
100,1.18598374461719e-19
101,1.1629972360380865e-19
102,1.1406836316674374e-19
103,1.119016928116709e-19
104,1.0979723661226325e-19
105,1.0775263597951527e-19
106,1.057656430515463e-19
107,1.0383411451380644e-19
108,1.0195600581795535e-19
109,1.0012936577029151e-19
110,9.835233146296977e-20
111,9.66231235234262e-20
112,9.494004165937108e-20
113,9.33014604785307e-20
114,9.170582556393644e-20
115,9.015164978705547e-20
116,8.863750984244502e-20
117,8.716204298884013e-20
118,8.572394398274202e-20
119,8.432196219162082e-20
120,8.29548988748035e-20
121,8.162160462101745e-20
122,8.032097693235018e-20
123,7.905195794514552e-20
124,7.781353227903882e-20
125,7.660472500595535e-20
126,7.54245997314979e-20
127,7.42722567816649e-20
128,7.314683148833878e-20
129,7.204749256745399e-20
130,7.097344058415277e-20
131,6.99239064996424e-20
132,6.889815029481685e-20
133,6.78954596660509e-20
134,6.691514878886484e-20
135,6.595655714545826e-20
136,6.501904841236816e-20
137,6.410200940475272e-20
138,6.320484907403396e-20
139,6.232699755583462e-20
140,6.1467905265346e-20
141,6.06270420374456e-20
142,5.980389630905665e-20
143,5.899797434138879e-20
144,5.820879947985648e-20
145,5.743591144959627e-20
146,5.667886568464799e-20
147,5.59372326889711e-20
148,5.521059742757692e-20
149,5.449855874617059e-20
150,5.3800728817783807e-20
151,5.311673261497672e-20
152,5.244620740626384e-20
153,5.1788802275502164e-20
154,5.1144177663057146e-20
155,5.051200492762089e-20
156,4.9891965927626503e-20
157,4.928375262126851e-20
158,4.868706668418694e-20
159,4.810161914392827e-20
160,4.75271300303499e-20
161,4.696332804117655e-20
162,4.640995022196244e-20
163,4.5866741659755496e-20
164,4.533345518979613e-20
165,4.480985111462432e-20
166,4.429569693499311e-20
167,4.3790767092027594e-20
168,4.329484272009542e-20
169,4.280771140988604e-20
170,4.2329166981212866e-20
171,4.1859009265091314e-20
172,4.1397043894659756e-20
173,4.0943082104536666e-20
174,4.0496940538224777e-20
175,4.005844106319893e-20
176,3.962741059332656e-20
177,3.920368091829034e-20
178,3.8787088539702643e-20
179,3.8377474513610453e-20
180,3.797468429910716e-20
181,3.7578567612782024e-20
182,3.718897828875429e-20
